仮名,字母,Unicode,備考
り,利,U+1B0F2,
り,李,U+1B0F3,
り,梨,U+1B0F4,
り,理,U+1B0F5,
り,里,U+1B0F6,
り,離,U+1B0F7,
る,流,U+1B0F8,
る,留,U+1B0F9,
る,留,U+1B0FA,
る,留,U+1B0FB,
る,累,U+1B0FC,
る,類,U+1B0FD,
れ,禮,U+1B0FE,
れ,禮,U+1B0FF,
れ,連,U+1B100,
れ,麗,U+1B101,
ろ,呂,U+1B102,
ろ,呂,U+1B103,
ろ,婁,U+1B104,
ろ,樓,U+1B105,
ろ,路,U+1B106,
ろ,露,U+1B107,
わ,倭,U+1B108,
わ,和,U+1B109,
わ,和,U+1B10A,
わ,王,U+1B10B,
わ,王,U+1B10C,
ゐ,井,U+1B10D,
ゐ,井,U+1B10E,
ゐ,居,U+1B10F,
ゐ,爲,U+1B110,
ゐ,遺,U+1B111,
ゑ,惠,U+1B112,
ゑ,衞,U+1B113,
ゑ,衞,U+1B114,
ゑ,衞,U+1B115,
を,乎,U+1B116,
を,乎,U+1B117,
を,尾,U+1B118,
を,緒,U+1B119,
を,越,U+1B11A,
を,遠,U+1B11B,
を,遠,U+1B11C,
ん/も/む,无,U+1B11D,
ん/も/む,无,U+1B11E,
